CODE,TXT,OC,pH,TEB,BS,CEC_soil,CEC_clay,RSD,SPR,SPH,OSD,DRG,ESP,EC,CCB,GYP,GRC,VSP
4260,Coarse,0.3,5.7,2.8,46,5,16,100,0,Lithic,0,MW,2,0,0,0,10,0
4261,Coarse,0.3,5.7,2.8,46,5,16,100,0,Lithic,0,MW,2,0,0,0,10,0
4264,Medium,0.3,4.7,2,20,12,22,100,0,Lithic,0,P,1,0,0,0,7,0
4265,Coarse,0.38,4.8,2.3,31,6,17,100,0,Lithic,0,P,4,0,0,0,8,0
4267,Medium,0.42,4.8,2.3,32,6,14,100,0,Lithic,0,MW,2,0,0,0,10,0
4284,Medium,0.42,4.8,2.3,32,6,14,100,0,Lithic,0,I,2,0,0,0,10,0
4325,Fine,0.45,5.9,17.1,84,23,39,100,0,Lithic,0,VP,2,0,0,0,1,0
4383,Medium,0.45,5.9,17.1,84,23,39,10,0,Lithic,0,I,2,0,0,0,1,0
4408,Fine,0.6,6.8,31.3,100,20,39,100,0,Lithic,0,P,2,0,0,0,8,0
4452,Coarse,0.3,5.7,2.8,46,5,16,100,0,Lithic,0,MW,2,0,0,0,10,0
4499,Fine,0.77,4.6,17.1,46,21,36,100,0,Lithic,0,VP,1,0,0,0,1,0
4544,Fine,0.52,5.5,4.7,45,10,13,100,0,Lithic,0,MW,2,0,0,0,2,0
4587,Fine,0.63,7.4,44.5,100,43,71,100,0,Lithic,0,P,2,0,3.4,0,4,0
6651,Fine,0.46,5.7,8,65,13,15,100,0,Lithic,0,MW,1,0,0,0,8,0
11788,Fine,0.52,4.9,2.1,21,7,11,100,0,Lithic,0,MW,1,0,0,0,28,0
